NRC,Clave,Materia,Secc,Dias,Hora,Profesor,Salón,Hora_ini,Hora_fin
40741,ISML 200,Lab. de Materiales Ceramicos,OO1,J,1100-1259,OSNAYA - GAMBOA CAROLINA,1FIQ9/101,11:00:00,12:59:00
40743,ISML 201,Lab. de Materiales Polimericos,OO1,V,0900-0959,HERNANDEZ - COCOLETZI HERIBERTO,1FIQ8/104,9:00:00,9:59:00
40743,ISML 201,Lab. de Materiales Polimericos,OO1,L,0900-1059,HERNANDEZ - COCOLETZI HERIBERTO,1FIQ8/104,9:00:00,10:59:00
40743,ISML 201,Lab. de Materiales Polimericos,OO1,A,0900-1059,HERNANDEZ - COCOLETZI HERIBERTO,1FIQ8/104,9:00:00,10:59:00
40743,ISML 201,Lab. de Materiales Polimericos,OO1,M,0900-1059,HERNANDEZ - COCOLETZI HERIBERTO,1FIQ8/104,9:00:00,10:59:00
40743,ISML 201,Lab. de Materiales Polimericos,OO1,J,0900-1059,HERNANDEZ - COCOLETZI HERIBERTO,1FIQ8/104,9:00:00,10:59:00
40569,INQS 022,Laboratorio de Ingenieria I,OO2,J,1100-1259,LOPEZ - BADILLO MARIBEL,1FIQ8/105,11:00:00,12:59:00
40569,INQS 022,Laboratorio de Ingenieria I,OO2,V,1100-1259,LOPEZ - BADILLO MARIBEL,1FIQ8/105,11:00:00,12:59:00
40569,INQS 022,Laboratorio de Ingenieria I,OO2,L,1100-1359,LOPEZ - BADILLO MARIBEL,1FIQ8/105,11:00:00,13:59:00
40569,INQS 022,Laboratorio de Ingenieria I,OO2,A,1100-1359,LOPEZ - BADILLO MARIBEL,1FIQ8/105,11:00:00,13:59:00
40569,INQS 022,Laboratorio de Ingenieria I,OO2,M,1100-1359,LOPEZ - BADILLO MARIBEL,1FIQ8/105,11:00:00,13:59:00
40744,ISML 202,Laboratorio de Metalurgia,OO1,V,1300-1359,OSNAYA - GAMBOA CAROLINA,1FIQ8/104,13:00:00,13:59:00
40744,ISML 202,Laboratorio de Metalurgia,OO1,L,1300-1459,OSNAYA - GAMBOA CAROLINA,1FIQ8/104,13:00:00,14:59:00
40744,ISML 202,Laboratorio de Metalurgia,OO1,A,1300-1459,OSNAYA - GAMBOA CAROLINA,1FIQ8/104,13:00:00,14:59:00
40744,ISML 202,Laboratorio de Metalurgia,OO1,M,1300-1459,OSNAYA - GAMBOA CAROLINA,1FIQ8/104,13:00:00,14:59:00
40744,ISML 202,Laboratorio de Metalurgia,OO1,J,1300-1459,OSNAYA - GAMBOA CAROLINA,1FIQ8/104,13:00:00,14:59:00
40026,FGUS 006,Lengua Extranjera III,361,A,0800-0959,CUATZO - TONACATL GLORIA,1FIQ2/201,8:00:00,9:59:00
40026,FGUS 006,Lengua Extranjera III,361,J,0800-0959,CUATZO - TONACATL GLORIA,1FIQ2/201,8:00:00,9:59:00
40026,FGUS 006,Lengua Extranjera III,361,L,0800-1059,CUATZO - TONACATL GLORIA,1FIQ2/201,8:00:00,10:59:00
40026,FGUS 006,Lengua Extranjera III,361,M,0800-1059,CUATZO - TONACATL GLORIA,1FIQ2/201,8:00:00,10:59:00
40026,FGUS 006,Lengua Extranjera III,361,V,0800-1059,CUATZO - TONACATL GLORIA,1FIQ2/201,8:00:00,10:59:00
40027,FGUS 007,Lengua Extranjera IV,361,A,1200-1359,LIMA - SANCHEZ JOSE ANTONIO,1FIQ2/201,12:00:00,13:59:00
40027,FGUS 007,Lengua Extranjera IV,361,J,1200-1359,LIMA - SANCHEZ JOSE ANTONIO,1FIQ2/201,12:00:00,13:59:00
40027,FGUS 007,Lengua Extranjera IV,361,L,1200-1459,LIMA - SANCHEZ JOSE ANTONIO,1FIQ2/201,12:00:00,14:59:00
40027,FGUS 007,Lengua Extranjera IV,361,M,1200-1459,LIMA - SANCHEZ JOSE ANTONIO,1FIQ2/201,12:00:00,14:59:00
40027,FGUS 007,Lengua Extranjera IV,361,V,1200-1459,LIMA - SANCHEZ JOSE ANTONIO,1FIQ2/201,12:00:00,14:59:00
40028,FGUS 007,Lengua Extranjera IV,362,A,1500-1659,CASTILLO - ESPINOZA GABRIEL,1FIQ2/201,15:00:00,16:59:00
40028,FGUS 007,Lengua Extranjera IV,362,J,1500-1659,CASTILLO - ESPINOZA GABRIEL,1FIQ2/201,15:00:00,16:59:00
40028,FGUS 007,Lengua Extranjera IV,362,L,1500-1759,CASTILLO - ESPINOZA GABRIEL,1FIQ2/201,15:00:00,17:59:00
40028,FGUS 007,Lengua Extranjera IV,362,M,1500-1759,CASTILLO - ESPINOZA GABRIEL,1FIQ2/201,15:00:00,17:59:00
40028,FGUS 007,Lengua Extranjera IV,362,V,1500-1759,CASTILLO - ESPINOZA GABRIEL,1FIQ2/201,15:00:00,17:59:00
40745,LIAS 253,Mineralogia y Cristalografia,OO1,A,1200-1359,MORALES - SANCHEZ MARCO ANTONIO,1FIQ5/301,12:00:00,13:59:00
40745,LIAS 253,Mineralogia y Cristalografia,OO1,J,1200-1359,MORALES - SANCHEZ MARCO ANTONIO,1FIQ5/301,12:00:00,13:59:00
40745,LIAS 253,Mineralogia y Cristalografia,OO1,L,1200-1459,MORALES - SANCHEZ MARCO ANTONIO,1FIQ5/301,12:00:00,14:59:00
40745,LIAS 253,Mineralogia y Cristalografia,OO1,M,1200-1459,MORALES - SANCHEZ MARCO ANTONIO,1FIQ5/301,12:00:00,14:59:00
40745,LIAS 253,Mineralogia y Cristalografia,OO1,V,1200-1459,MORALES - SANCHEZ MARCO ANTONIO,1FIQ5/301,12:00:00,14:59:00
40627,INQS 014,Probabilidad y Estadistica,OO1,L,0700-0859,OJEDA - OROZCO ARZENIO SERVANDO,1FIQ1/102,7:00:00,8:59:00
40627,INQS 014,Probabilidad y Estadistica,OO1,V,0700-0859,OJEDA - OROZCO ARZENIO SERVANDO,1FIQ1/102,7:00:00,8:59:00
40627,INQS 014,Probabilidad y Estadistica,OO1,A,0700-0959,OJEDA - OROZCO ARZENIO SERVANDO,1FIQ1/102,7:00:00,9:59:00
