NRC,Clave,Materia,Secc,Dias,Hora,Profesor,Salón,ini ,fin ,Hora_ini,Hora_fin
37407,INQS 018,Diseno Expe. y Analisis Datos,OO4,L,1500-1559,ALVARADO - FLORES MIGUEL,1FIQ1/306,1500,1559,15:00,15:59
37407,INQS 018,Diseno Expe. y Analisis Datos,OO4,A,1500-1559,ALVARADO - FLORES MIGUEL,1FIQ1/306,1500,1559,15:00,15:59
37407,INQS 018,Diseno Expe. y Analisis Datos,OO4,M,1500-1559,ALVARADO - FLORES MIGUEL,1FIQ4/201,1500,1559,15:00,15:59
37407,INQS 018,Diseno Expe. y Analisis Datos,OO4,J,1500-1559,ALVARADO - FLORES MIGUEL,1FIQ4/201,1500,1559,15:00,15:59
37408,INQS 018,Diseno Expe. y Analisis Datos,OO5,A,1300-1359,CONDE - HERNANDEZ LILIA ALEJANDRA,1FIQ1/306,1300,1359,13:00,13:59
37408,INQS 018,Diseno Expe. y Analisis Datos,OO5,V,1300-1359,CONDE - HERNANDEZ LILIA ALEJANDRA,1FIQ1/306,1300,1359,13:00,13:59
37408,INQS 018,Diseno Expe. y Analisis Datos,OO5,M,1300-1359,CONDE - HERNANDEZ LILIA ALEJANDRA,1FIQ4/201,1300,1359,13:00,13:59
37408,INQS 018,Diseno Expe. y Analisis Datos,OO5,J,1300-1359,CONDE - HERNANDEZ LILIA ALEJANDRA,1FIQ4/201,1300,1359,13:00,13:59
37410,INQS 016,Ecuaciones Diferenciales,OO1,L,1200-1259,PALACIOS - ARIAS JOSE LUCIO,1EMA3/101,1200,1259,12:00,12:59
37410,INQS 016,Ecuaciones Diferenciales,OO1,M,1200-1259,PALACIOS - ARIAS JOSE LUCIO,1EMA3/101,1200,1259,12:00,12:59
37410,INQS 016,Ecuaciones Diferenciales,OO1,J,1200-1259,PALACIOS - ARIAS JOSE LUCIO,1EMA3/101,1200,1259,12:00,12:59
37410,INQS 016,Ecuaciones Diferenciales,OO1,V,1200-1259,PALACIOS - ARIAS JOSE LUCIO,1EMA3/101,1200,1259,12:00,12:59
40736,EMIQ 700,Emprendimiento,OO1,,-,GONZALEZ - LIMON MONTSERRAT,1FIQ1V/,,,#VALUE!,#VALUE!
40741,EMIQ 700,Emprendimiento,OO2,,-,GONZALEZ - LIMON MONTSERRAT,1FIQ1V/,,,#VALUE!,#VALUE!
38287,IAMS 800,Energias Alternas,OO1,L,1800-1859,CARBAJAL - MARTINEZ GLORIA,1FIQ2/202,1800,1859,18:00,18:59
38287,IAMS 800,Energias Alternas,OO1,A,1800-1859,CARBAJAL - MARTINEZ GLORIA,1FIQ2/202,1800,1859,18:00,18:59
38287,IAMS 800,Energias Alternas,OO1,M,1800-1859,CARBAJAL - MARTINEZ GLORIA,1FIQ2/202,1800,1859,18:00,18:59
38287,IAMS 800,Energias Alternas,OO1,J,1800-1859,CARBAJAL - MARTINEZ GLORIA,1FIQ2/202,1800,1859,18:00,18:59
38287,IAMS 800,Energias Alternas,OO1,V,1800-1859,CARBAJAL - MARTINEZ GLORIA,1FIQ2/202,1800,1859,18:00,18:59
37855,IAMS 002,Equilibrio Quimico y Catalisis,OO1,L,1100-1159,REYES - AVENDANO JOSE ANDRES,1FIQ1/306,1100,1159,11:00,11:59
37855,IAMS 002,Equilibrio Quimico y Catalisis,OO1,J,1100-1159,REYES - AVENDANO JOSE ANDRES,1FIQ1/306,1100,1159,11:00,11:59
37855,IAMS 002,Equilibrio Quimico y Catalisis,OO1,V,1100-1259,REYES - AVENDANO JOSE ANDRES,1FIQ6/106,1100,1259,11:00,12:59
38288,IAMS 803,Estudio de Riesgo,OO1,L,1400-1459,"VELASCO - HERNANDEZ MARIA DE LOS
ANGELES",1FIQ2/201,1400,1459,14:00,14:59
38288,IAMS 803,Estudio de Riesgo,OO1,A,1400-1459,"VELASCO - HERNANDEZ MARIA DE LOS
ANGELES",1FIQ2/201,1400,1459,14:00,14:59
38288,IAMS 803,Estudio de Riesgo,OO1,M,1400-1459,"VELASCO - HERNANDEZ MARIA DE LOS
ANGELES",1FIQ2/201,1400,1459,14:00,14:59
38288,IAMS 803,Estudio de Riesgo,OO1,J,1400-1459,"VELASCO - HERNANDEZ MARIA DE LOS
ANGELES",1FIQ2/201,1400,1459,14:00,14:59
38288,IAMS 803,Estudio de Riesgo,OO1,V,1400-1459,"VELASCO - HERNANDEZ MARIA DE LOS
ANGELES",1FIQ2/201,1400,1459,14:00,14:59
38289,IAMS 803,Estudio de Riesgo,OO2,L,1800-1859,TEPALE - TECOTL ARTURO,1FIQ2/203,1800,1859,18:00,18:59
38289,IAMS 803,Estudio de Riesgo,OO2,A,1800-1859,TEPALE - TECOTL ARTURO,1FIQ2/203,1800,1859,18:00,18:59
38289,IAMS 803,Estudio de Riesgo,OO2,M,1800-1859,TEPALE - TECOTL ARTURO,1FIQ2/203,1800,1859,18:00,18:59
38289,IAMS 803,Estudio de Riesgo,OO2,J,1800-1859,TEPALE - TECOTL ARTURO,1FIQ2/203,1800,1859,18:00,18:59
38289,IAMS 803,Estudio de Riesgo,OO2,V,1800-1859,TEPALE - TECOTL ARTURO,1FIQ2/203,1800,1859,18:00,18:59
38018,INQS 020,Fenomenos de Transporte I,OO1,L,1300-1359,FLORES - GARCIA JOSE RAFAEL,1FIQ1/302,1300,1359,13:00,13:59
38018,INQS 020,Fenomenos de Transporte I,OO1,A,1300-1359,FLORES - GARCIA JOSE RAFAEL,1FIQ1/302,1300,1359,13:00,13:59
38018,INQS 020,Fenomenos de Transporte I,OO1,J,1300-1359,FLORES - GARCIA JOSE RAFAEL,1FIQ1/302,1300,1359,13:00,13:59
38018,INQS 020,Fenomenos de Transporte I,OO1,V,1300-1359,FLORES - GARCIA JOSE RAFAEL,1FIQ1/302,1300,1359,13:00,13:59
38020,INQS 020,Fenomenos de Transporte I,OO2,L,1400-1459,CONDE - HERNANDEZ LILIA ALEJANDRA,1FIQ1/204,1400,1459,14:00,14:59
38020,INQS 020,Fenomenos de Transporte I,OO2,A,1400-1459,CONDE - HERNANDEZ LILIA ALEJANDRA,1FIQ1/204,1400,1459,14:00,14:59
38020,INQS 020,Fenomenos de Transporte I,OO2,J,1400-1459,CONDE - HERNANDEZ LILIA ALEJANDRA,1FIQ1/204,1400,1459,14:00,14:59
38020,INQS 020,Fenomenos de Transporte I,OO2,V,1400-1459,CONDE - HERNANDEZ LILIA ALEJANDRA,1FIQ1/204,1400,1459,14:00,14:59
37856,INQS 011,Fisicoquimica II,OO1,L,1400-1459,BARRERA - QUIROZ ROSA ARELY,1FIQ6/106,1400,1459,14:00,14:59
37856,INQS 011,Fisicoquimica II,OO1,J,1400-1459,BARRERA - QUIROZ ROSA ARELY,1FIQ6/106,1400,1459,14:00,14:59
37856,INQS 011,Fisicoquimica II,OO1,A,1400-1559,BARRERA - QUIROZ ROSA ARELY,1FIQ1/305,1400,1559,14:00,15:59
38024,INQS 021,Flujo de Fluidos,OO1,A,0900-0959,FLORES - GARCIA JOSE RAFAEL,1FIQ1/302,0900,0959,09:00,09:59
38024,INQS 021,Flujo de Fluidos,OO1,M,0900-0959,FLORES - GARCIA JOSE RAFAEL,1FIQ1/302,0900,0959,09:00,09:59
38024,INQS 021,Flujo de Fluidos,OO1,J,0900-0959,FLORES - GARCIA JOSE RAFAEL,1FIQ1/302,0900,0959,09:00,09:59
38024,INQS 021,Flujo de Fluidos,OO1,V,0900-0959,FLORES - GARCIA JOSE RAFAEL,1FIQ1/302,0900,0959,09:00,09:59
